path,tp,tn,fp,fn,support,accuracy,error_rate
contra_quien[].nivel_institucional,18,0,40,39,97,0.1856,0.8144
delimitacion.criterio_delimitacion,17,0,39,30,86,0.1977,0.8023
demandas[].categoria,21,0,44,35,100,0.21,0.79
accion.formato_principal.categoria,18,0,38,29,85,0.2118,0.7882
contra_quien[].categoria,25,0,33,32,90,0.2778,0.7222
lugares[].categoria,24,0,33,25,82,0.2927,0.7073
sujetos[].organizaciones[].categoria,38,0,43,37,118,0.322,0.678
lugares[].rol_en_evento,26,0,31,23,80,0.325,0.675
temporalidad.tipo_temporal,26,0,30,21,77,0.3377,0.6623
temporalidad.tempo_verbal,27,0,29,20,76,0.3553,0.6447
alcance.categoria,27,0,29,20,76,0.3553,0.6447
sujetos[].categoria,30,0,30,20,80,0.375,0.625
delimitacion.es_accion_principal_con_complementarias,1,28,27,18,74,0.3919,0.6081
evento.es_evento_protesta,30,4,22,13,69,0.4928,0.5072
cantidad_participantes.hay_cantidad_mencionada,37,0,19,10,66,0.5606,0.4394
cantidad_participantes.es_aproximada,37,0,19,10,66,0.5606,0.4394
incidentes.enfrentamiento.presencia,39,0,17,8,64,0.6094,0.3906
temporalidad.fecha_inicio.certeza,40,0,16,7,63,0.6349,0.3651
temporalidad.fecha_fin.certeza,40,0,16,7,63,0.6349,0.3651
incidentes.represion.presencia,40,0,16,7,63,0.6349,0.3651
incidentes.detenidos.presencia,40,0,16,7,63,0.6349,0.3651
incidentes.heridos.presencia,40,0,16,7,63,0.6349,0.3651
incidentes.muertos.presencia,40,0,16,7,63,0.6349,0.3651
incidentes.danios_materiales.presencia,40,0,16,7,63,0.6349,0.3651
